isomiR_ID importance_mean std_mean
495 8.495177e-02 0.032659
28034 6.437299e-02 0.024400
39368 4.042872e-02 0.018237
1271 2.647374e-02 0.030007
36516 6.752412e-03 0.006183
38299 3.601286e-03 0.004360
17373 2.143623e-03 0.008516
35025 1.371919e-03 0.001361
49222 9.646302e-04 0.000954
46343 6.859593e-04 0.001647
2610 4.930332e-04 0.000663
15803 2.786710e-04 0.000751
4513 2.357985e-04 0.000299
26082 2.357985e-04 0.000398
47417 1.714898e-04 0.000981
27900 1.500536e-04 0.000663
6151 1.071811e-04 0.000225
47773 1.071811e-04 0.000383
31894 1.071811e-04 0.002534
16195 8.574491e-05 0.000593
16065 6.430868e-05 0.000315
48737 2.143623e-05 0.000299
5355 2.143623e-05 0.000321
